b.h.v liberté
black label port de commerce
blind piper siam
bodega amaya keruscun
café de gare gare
café de plage place guérin
café arts siam
casa havana siam
chez emile saint-martin
chez muller place guérin
comix saint-martin
greenwich siam
greenwich café siam
l’annexe 
l’estaminet 
l’horizon (chez kim) saint-martin
l'usine siam
base port de plaisance
bouteilà mer 
chope liberté
coccinelle recouvrance
flibuste siam
guarida saint-martin
licorne saint-martin
ronde des vins siam
4.2.1 kerinou
baïkal café glasgow
baobab chez doudou château
bar écossais  jaures
baradozic siam
belem 
bistrot 
buffet gare
canillo kerigonan
cube à ressort 
dylan's jaures
flore glasgow
forum saint-martin
globulrouge 
jean moulin saint louis
keravilin 
kerich’n montaigne
lafayette 
mac guigan’s 
miden 
mix up siam
mondrian 
petit montmartre kerinou
plazza 
pousse café 
scorpion 2 
tara inn 
tilbury 
tour du monde port de commerce
tourot bar 
triskell bihan 
vauban 
4 vents 
embruns 
fauvettes 
studios 
mundo café 
rock cirkus jaures
the dubliners 
the lansdowne road jaures
tír na nóg 
